persian_id,id,title,prob,link,persian_link
11,11670,Attacking the voting trainer was lost in Baghdadnan,0.5450738792557543,https://www.bbc.com/tajik/news/2010/03/100305_rm_iraq-attacks,https://www.bbc.com/persian/world/2015/03/150323_u04_iraniraq_pilgrims
23,7397,Iran's talks and atumi reviewers remained uncontressednan,0.6528857010319887,https://www.bbc.com/tajik/institutional/2012/02/120222_rh_l10_rln_iaea_talks,https://www.bbc.com/persian/iran/2015/03/150331_sam_turkeyvox
131,7474,"Iran's ""Katabi"" protest of the ""non-governmental campaign"" of the Republic of Azerbaijannan",0.5867342325231755,https://www.bbc.com/tajik/institutional/2012/02/120213_rh_l23_iran_azarbayjan_summon_ambassador,https://www.bbc.com/persian/iran/2015/03/150329_l26_erdogan_iran_trip_criticism
131,7726,Eshart's response to Iran's request for Iranian negotiationsnan,0.6454920101426078,https://www.bbc.com/tajik/institutional/2012/01/120121_ea_ashton_iran,https://www.bbc.com/persian/iran/2015/03/150329_l26_erdogan_iran_trip_criticism
131,9044,Unprecedented attack of Irland Prime Minister of the Prime Minister of Irish to Kotariknan,0.5879201037874505,https://www.bbc.com/tajik/institutional/2011/07/110721_rm_rln_ireland_church,https://www.bbc.com/persian/iran/2015/03/150329_l26_erdogan_iran_trip_criticism
142,7728,The Biocal company had an inconvenient announcementnan,0.4017045780732621,https://www.bbc.com/tajik/institutional/2012/01/120120_rh_l34_kodak_bankruptcy,https://www.bbc.com/persian/world/2015/03/150328_u07_tony_hall_bbc_death_threat
142,7742,The Biocal company had an inconvenient announcementnan,0.4017045780732621,https://www.bbc.com/tajik/institutional/2012/01/120119_rh_l03_rln_kodak,https://www.bbc.com/persian/world/2015/03/150328_u07_tony_hall_bbc_death_threat
146,1923,The victory of the Football Football Public Football Public Bar Bar Barrynan,0.5122103431111165,https://www.bbc.com/tajik/news/2014/05/140504_l16_tajik_afghan_football,https://www.bbc.com/persian/sport/2015/03/150328_aa_football_beach
149,11837,Navruz is held in Shisaz this yearnan,0.5514012084723582,https://www.bbc.com/tajik/news/2010/01/100127_sq_nowruz_iran,https://www.bbc.com/persian/arts/2015/03/150328_l41_books_norooz_kondoz
149,4684,Cence of Navruz in Tajikistannan,0.5803318172624289,https://www.bbc.com/tajik/news/2013/03/130327_l16_l42_vid_taj_gol,https://www.bbc.com/persian/arts/2015/03/150328_l41_books_norooz_kondoz
